date,close
2019-06-21,39.3
2019-06-24,38.51
2019-06-25,36.59
2019-06-26,36.9
2019-06-27,38.2
2019-06-28,38.59
2019-07-01,39.4
2019-07-02,39.98
2019-07-03,40.43
2019-07-05,40.55
2019-07-08,42.79
2019-07-09,42.87
2019-07-10,43.62
2019-07-11,44.73
2019-07-12,44.26
2019-07-15,44.98
2019-07-16,44.72
2019-07-17,43.79
2019-07-18,43.79
2019-07-19,43.33
2019-07-22,42.85
2019-07-23,42.63
2019-07-24,43.51
2019-07-25,42.77
2019-07-26,43.48
2019-07-29,42.03
2019-07-30,45.77
2019-07-31,44.92
2019-08-01,45.03
2019-08-02,44.76
2019-08-05,43.12
2019-08-06,43.5
2019-08-07,43.46
2019-08-08,44.99
2019-08-09,43.68
2019-08-12,41.48
2019-08-13,41.72
2019-08-14,39.6
2019-08-15,39.54
2019-08-16,40.46
2019-08-19,40.97
2019-08-20,40.42
2019-08-21,40.97
2019-08-22,40.86
2019-08-23,40.05
2019-08-26,40.42
2019-08-27,39.91
2019-08-28,40.17
2019-08-29,40.45
2019-08-30,39.64
2019-09-03,38.2
2019-09-04,37.62
2019-09-05,35.15
2019-09-06,34.19
2019-09-09,33.92
2019-09-10,33.12
2019-09-11,33.67
2019-09-12,33.99
2019-09-13,34.48
2019-09-16,34.55
2019-09-17,34.92
2019-09-18,34.25
2019-09-19,33.92
2019-09-20,33.28
2019-09-23,34.0
2019-09-24,32.94
2019-09-25,31.54
2019-09-26,30.84
2019-09-27,30.05
2019-09-30,29.95
2019-10-01,29.21
2019-10-02,28.46
2019-10-03,29.59
2019-10-04,30.49
2019-10-07,30.78
2019-10-08,30.53
2019-10-09,31.23
2019-10-10,31.49
2019-10-11,32.13
2019-10-14,32.62
2019-10-15,33.05
2019-10-16,32.3
2019-10-17,32.75
2019-10-18,32.37
2019-10-21,32.73
2019-10-22,32.76
2019-10-23,31.62
2019-10-24,32.36
2019-10-25,32.71
2019-10-28,32.59
2019-10-29,31.42
2019-10-30,31.29
2019-10-31,30.66
2019-11-01,30.75
2019-11-04,29.33
2019-11-05,33.54
2019-11-06,34.42
2019-11-07,33.85
2019-11-08,34.05
2019-11-11,34.81
2019-11-12,35.34
2019-11-13,36.05
2019-11-14,36.52
2019-11-15,36.57
2019-11-18,36.89
2019-11-19,36.67
2019-11-20,36.59
2019-11-21,36.07
2019-11-22,36.6
2019-11-25,38.45
2019-11-26,39.17
2019-11-27,39.42
2019-11-29,38.77
2019-12-02,38.5
2019-12-03,38.5
2019-12-04,38.28
2019-12-05,37.59
2019-12-06,37.95
2019-12-09,37.61
2019-12-10,37.94
2019-12-11,37.35
2019-12-12,37.12
2019-12-13,37.62
2019-12-16,38.35
2019-12-17,38.37
2019-12-18,38.49
2019-12-19,38.68
2019-12-20,38.35
2019-12-23,38.04
2019-12-24,38.38
2019-12-26,39.01
2019-12-27,38.24
2019-12-30,37.98
2019-12-31,37.91
2020-01-02,39.03
2020-01-03,38.31
2020-01-06,38.88
2020-01-07,39.44
2020-01-08,40.1
2020-01-09,40.49
2020-01-10,40.24
2020-01-13,41.21
2020-01-14,41.46
2020-01-15,41.38
2020-01-16,42.72
2020-01-17,43.33
2020-01-21,43.01
2020-01-22,42.94
2020-01-23,42.94
2020-01-24,42.72
2020-01-27,42.43
2020-01-28,42.36
2020-01-29,41.37
2020-01-30,41.7
2020-01-31,41.23
2020-02-03,41.75
2020-02-04,42.63
2020-02-05,42.24
2020-02-06,42.85
2020-02-07,42.71
2020-02-10,44.61
2020-02-11,40.91
2020-02-12,40.08
2020-02-13,39.9
2020-02-14,40.08
2020-02-18,40.72
2020-02-19,40.97
2020-02-20,40.57
2020-02-21,40.03
2020-02-24,38.74
2020-02-25,37.54
2020-02-26,37.26
2020-02-27,39.01
2020-02-28,39.21
2020-03-02,40.75
2020-03-03,39.26
2020-03-04,39.79
2020-03-05,38.96
2020-03-06,39.16
2020-03-09,37.29
2020-03-10,38.97
2020-03-11,36.74
2020-03-12,36.8
2020-03-13,36.1
2020-03-16,31.5
2020-03-17,32.31
2020-03-18,27.71
2020-03-19,30.0
2020-03-20,29.64
2020-03-23,34.14
2020-03-24,34.15
2020-03-25,34.03
2020-03-26,36.66
