date,close
2019-06-21,51.55
2019-06-24,51.92
2019-06-25,51.76
2019-06-26,51.12
2019-06-27,51.08
2019-06-28,50.92
2019-07-01,51.6
2019-07-02,51.98
2019-07-03,52.1
2019-07-05,52.11
2019-07-08,52.0
2019-07-09,51.59
2019-07-10,51.82
2019-07-11,52.04
2019-07-12,52.12
2019-07-15,52.13
2019-07-16,52.14
2019-07-17,52.18
2019-07-18,52.03
2019-07-19,51.39
2019-07-22,51.22
2019-07-23,54.33
2019-07-24,53.78
2019-07-25,53.07
2019-07-26,54.17
2019-07-29,53.99
2019-07-30,53.72
2019-07-31,52.63
2019-08-01,52.03
2019-08-02,52.33
2019-08-05,51.65
2019-08-06,52.27
2019-08-07,53.18
2019-08-08,53.69
2019-08-09,53.42
2019-08-12,53.2
2019-08-13,53.5
2019-08-14,52.99
2019-08-15,53.87
2019-08-16,54.41
2019-08-19,54.69
2019-08-20,53.88
2019-08-21,54.1
2019-08-22,54.49
2019-08-23,53.74
2019-08-26,54.54
2019-08-27,54.72
2019-08-28,55.11
2019-08-29,55.05
2019-08-30,55.04
2019-09-03,55.3
2019-09-04,55.77
2019-09-05,55.12
2019-09-06,55.23
2019-09-09,54.52
2019-09-10,54.4
2019-09-11,54.77
2019-09-12,55.11
2019-09-13,54.26
2019-09-16,53.96
2019-09-17,54.24
2019-09-18,54.23
2019-09-19,54.52
2019-09-20,53.91
2019-09-23,54.14
2019-09-24,54.3
2019-09-25,54.17
2019-09-26,54.39
2019-09-27,54.31
2019-09-30,54.44
2019-10-01,54.65
2019-10-02,53.08
2019-10-03,53.84
2019-10-04,54.54
2019-10-07,53.87
2019-10-08,53.58
2019-10-09,53.83
2019-10-10,53.66
2019-10-11,53.3
2019-10-14,53.3
2019-10-15,53.51
2019-10-16,53.49
2019-10-17,53.79
2019-10-18,54.78
2019-10-21,54.23
2019-10-22,53.85
2019-10-23,54.64
2019-10-24,54.61
2019-10-25,53.75
2019-10-28,53.57
2019-10-29,53.41
2019-10-30,53.94
2019-10-31,54.43
2019-11-01,53.9
2019-11-04,53.14
2019-11-05,52.42
2019-11-06,52.8
2019-11-07,52.29
2019-11-08,52.21
2019-11-11,51.84
2019-11-12,51.71
2019-11-13,52.41
2019-11-14,52.63
2019-11-15,52.67
2019-11-18,53.03
2019-11-19,53.08
2019-11-20,53.22
2019-11-21,52.96
2019-11-22,53.03
2019-11-25,53.22
2019-11-26,53.9
2019-11-27,53.95
2019-11-29,53.4
2019-12-02,53.75
2019-12-03,53.8
2019-12-04,54.29
2019-12-05,54.19
2019-12-06,54.42
2019-12-09,54.07
2019-12-10,53.77
2019-12-11,53.95
2019-12-12,54.14
2019-12-13,54.42
2019-12-16,54.42
2019-12-17,54.42
2019-12-18,53.91
2019-12-19,54.32
2019-12-20,54.97
2019-12-23,54.91
2019-12-24,54.71
2019-12-26,55.02
2019-12-27,55.35
2019-12-30,55.27
2019-12-31,55.35
2020-01-02,54.99
2020-01-03,54.69
2020-01-06,54.67
2020-01-07,54.25
2020-01-08,54.35
2020-01-09,55.34
2020-01-10,55.53
2020-01-13,56.13
2020-01-14,56.0
2020-01-15,56.7
2020-01-16,56.82
2020-01-17,56.94
2020-01-21,57.17
2020-01-22,57.61
2020-01-23,57.83
2020-01-24,57.68
2020-01-27,57.48
2020-01-28,57.01
2020-01-29,57.01
2020-01-30,58.86
2020-01-31,58.4
2020-02-03,58.58
2020-02-04,58.84
2020-02-05,58.85
2020-02-06,58.99
2020-02-07,59.19
2020-02-10,59.75
2020-02-11,59.59
2020-02-12,59.41
2020-02-13,59.61
2020-02-14,59.95
2020-02-18,59.53
2020-02-19,59.77
2020-02-20,59.72
2020-02-21,60.13
2020-02-24,58.65
2020-02-25,57.82
2020-02-26,57.6
2020-02-27,54.93
2020-02-28,53.49
2020-03-02,55.92
2020-03-03,56.06
2020-03-04,58.92
2020-03-05,56.74
2020-03-06,55.26
2020-03-09,51.86
2020-03-10,53.66
2020-03-11,52.21
2020-03-12,47.16
2020-03-13,48.47
2020-03-16,45.26
2020-03-17,47.18
2020-03-18,44.85
2020-03-19,41.83
2020-03-20,38.3
2020-03-23,37.56
2020-03-24,39.45
2020-03-25,41.61
2020-03-26,44.29
2020-03-27,42.81
2020-03-30,45.0
2020-03-31,44.25
2020-04-01,42.12
2020-04-02,43.95
2020-04-03,43.83
2020-04-06,46.67
2020-04-07,46.51
2020-04-08,47.82
2020-04-09,49.0
2020-04-13,46.93
2020-04-14,48.92
2020-04-15,47.61
2020-04-16,47.1
2020-04-17,48.06
2020-04-20,46.53
2020-04-21,45.38
2020-04-22,45.68
2020-04-23,45.07
2020-04-24,45.43
2020-04-27,46.78
2020-04-28,46.74
2020-04-29,47.12
2020-04-30,45.89
2020-05-01,45.6
2020-05-04,45.14
2020-05-05,45.4
2020-05-06,44.75
2020-05-07,44.6
2020-05-08,46.11
2020-05-11,45.54
2020-05-12,44.82
2020-05-13,43.94
2020-05-14,43.7
2020-05-15,43.26
2020-05-18,44.97
2020-05-19,44.54
2020-05-20,45.89
2020-05-21,45.17
2020-05-22,45.03
2020-05-26,46.09
2020-05-27,46.73
2020-05-28,47.09
2020-05-29,46.68
2020-06-01,46.99
2020-06-02,46.9
2020-06-03,47.9
2020-06-04,47.92
2020-06-05,49.09
2020-06-08,49.85
2020-06-09,49.0
2020-06-10,48.62
2020-06-11,45.54
2020-06-12,45.6
2020-06-15,46.3
2020-06-16,46.77
2020-06-17,46.58
2020-06-18,46.99
2020-06-19,46.02
2020-06-22,45.74
2020-06-23,45.64
2020-06-24,44.65
2020-06-25,44.93
2020-06-26,43.57
2020-06-29,44.36
2020-06-30,44.68
2020-07-01,44.82
2020-07-02,44.88
2020-07-06,45.23
2020-07-07,45.21
2020-07-08,45.07
2020-07-09,43.91
2020-07-10,45.15
2020-07-13,45.25
2020-07-14,45.87
2020-07-15,46.4
2020-07-16,46.15
2020-07-17,46.82
2020-07-20,46.12
2020-07-21,47.2
2020-07-22,48.48
2020-07-23,48.28
2020-07-24,48.49
2020-07-27,48.48
2020-07-28,48.18
2020-07-29,48.02
2020-07-30,47.69
2020-07-31,47.24
2020-08-03,46.3
2020-08-04,46.69
2020-08-05,47.22
2020-08-06,47.48
2020-08-07,47.8
2020-08-10,47.72
2020-08-11,47.93
2020-08-12,48.43
2020-08-13,48.38
2020-08-14,48.45
2020-08-17,48.21
2020-08-18,48.42
2020-08-19,47.37
2020-08-20,47.35
2020-08-21,47.28
2020-08-24,47.97
2020-08-25,47.91
2020-08-26,48.16
2020-08-27,48.23
2020-08-28,49.83
2020-08-31,49.53
2020-09-01,49.12
2020-09-02,51.19
2020-09-03,50.48
2020-09-04,51.04
2020-09-08,49.81
2020-09-09,50.19
2020-09-10,50.0
2020-09-11,51.06
2020-09-14,50.71
2020-09-15,51.05
2020-09-16,50.79
2020-09-17,50.55
2020-09-18,50.45
2020-09-21,49.09
2020-09-22,49.66
2020-09-23,48.21
2020-09-24,48.7
2020-09-25,48.72
2020-09-28,49.28
2020-09-29,48.92
2020-09-30,49.37
2020-10-01,49.18
2020-10-02,49.36
2020-10-05,49.38
2020-10-06,48.94
2020-10-07,49.56
2020-10-08,50.46
2020-10-09,50.81
2020-10-12,51.09
2020-10-13,50.22
2020-10-14,50.12
2020-10-15,49.99
2020-10-16,50.03
2020-10-19,49.62
2020-10-20,50.25
2020-10-21,49.99
2020-10-22,50.68
2020-10-23,50.52
2020-10-26,49.8
2020-10-27,49.9
2020-10-28,47.96
2020-10-29,48.02
2020-10-30,48.06
2020-11-02,48.62
2020-11-03,49.35
2020-11-04,49.17
2020-11-05,49.44
2020-11-06,49.45
2020-11-09,52.57
2020-11-10,53.98
2020-11-11,53.58
2020-11-12,53.01
2020-11-13,53.45
2020-11-16,53.85
2020-11-17,53.68
2020-11-18,52.61
2020-11-19,53.13
2020-11-20,52.67
2020-11-23,52.68
2020-11-24,53.22
2020-11-25,52.93
2020-11-27,52.7
2020-11-30,51.6
2020-12-01,52.04
2020-12-02,52.11
2020-12-03,52.78
2020-12-04,53.85
2020-12-07,52.99
2020-12-08,53.18
2020-12-09,53.33
2020-12-10,53.05
2020-12-11,53.35
2020-12-14,53.27
2020-12-15,53.84
2020-12-16,53.06
2020-12-17,53.27
2020-12-18,53.74
2020-12-21,52.81
2020-12-22,52.76
2020-12-23,53.08
2020-12-24,53.44
2020-12-28,54.16
2020-12-29,54.13
2020-12-30,54.44
2020-12-31,54.84
2021-01-04,52.76
2021-01-05,52.18
2021-01-06,50.52
2021-01-07,49.96
2021-01-08,51.08
2021-01-11,50.2
2021-01-12,50.11
2021-01-13,50.16
2021-01-14,49.23
2021-01-15,48.7
2021-01-19,48.51
2021-01-20,48.68
2021-01-21,48.95
2021-01-22,48.49
2021-01-25,48.78
2021-01-26,49.29
2021-01-27,48.53
2021-01-28,49.15
2021-01-29,48.15
2021-02-01,48.48
2021-02-02,48.96
2021-02-03,48.77
2021-02-04,49.01
2021-02-05,49.65
2021-02-08,49.92
2021-02-09,49.7
2021-02-10,49.6
2021-02-11,50.3
2021-02-12,50.69
2021-02-16,50.27
2021-02-17,50.13
2021-02-18,50.77
2021-02-19,50.11
2021-02-22,50.63
2021-02-23,50.54
2021-02-24,50.71
2021-02-25,50.17
2021-02-26,48.99
2021-03-01,49.9
2021-03-02,50.1
2021-03-03,49.98
2021-03-04,49.94
2021-03-05,50.79
2021-03-08,51.64
2021-03-09,50.86
2021-03-10,51.44
2021-03-11,50.88
2021-03-12,50.36
2021-03-15,51.03
2021-03-16,51.22
2021-03-17,51.24
2021-03-18,50.57
2021-03-19,50.81
2021-03-22,51.0
2021-03-23,51.39
2021-03-24,51.52
2021-03-25,52.02
2021-03-26,53.04
2021-03-29,53.85
2021-03-30,53.15
2021-03-31,52.71
2021-04-01,52.51
2021-04-05,52.81
2021-04-06,53.19
2021-04-07,53.28
2021-04-08,53.12
2021-04-09,53.18
2021-04-12,53.35
2021-04-13,53.09
2021-04-14,53.08
2021-04-15,53.33
2021-04-16,53.68
2021-04-19,54.0
2021-04-20,54.17
2021-04-21,54.61
2021-04-22,54.44
2021-04-23,54.47
2021-04-26,53.66
2021-04-27,53.58
2021-04-28,53.59
2021-04-29,54.26
2021-04-30,53.98
2021-05-03,54.48
2021-05-04,54.14
2021-05-05,54.0
2021-05-06,54.54
2021-05-07,54.51
2021-05-10,54.91
2021-05-11,54.32
2021-05-12,54.04
2021-05-13,54.51
2021-05-14,54.73
2021-05-17,54.64
2021-05-18,54.34
2021-05-19,54.17
2021-05-20,54.65
2021-05-21,54.62
2021-05-24,54.8
2021-05-25,54.79
2021-05-26,55.03
2021-05-27,55.49
2021-05-28,55.29
2021-06-01,55.28
2021-06-02,55.5
2021-06-03,55.64
2021-06-04,56.24
2021-06-07,56.04
2021-06-08,55.65
2021-06-09,55.48
2021-06-10,55.91
2021-06-11,56.16
2021-06-14,55.55
2021-06-15,55.41
2021-06-16,54.67
2021-06-17,54.95
2021-06-18,53.77
2021-06-21,54.36
2021-06-22,54.56
2021-06-23,54.12
2021-06-24,54.39
2021-06-25,54.32
2021-06-28,54.26
2021-06-29,53.86
2021-06-30,54.11
2021-07-01,53.96
2021-07-02,54.18
2021-07-06,53.88
2021-07-07,54.32
2021-07-08,54.13
